отсутствие : [0.16666666666666666, 0.23400000000000004] 
считаю : [0.13999999999999999, 0.23454106280193232] 
удобный : [0.26, 0.3968253968253968] 
хороший : [0.41111111111111115, 0.3543307086614173] 
тянет : [0.18, 0.22578616352201256] 
экран : [0.2708333333333333, 0.32750716332378227] 
новый : [0.18, 0.22578616352201256] 
интернет : [0.3625, 0.25594405594405595] 
смс : [0.20833333333333334, 0.22467532467532467] 
никаких : [0.28125, 0.2219047619047619] 
экрана : [0.22000000000000003, 0.25270270270270273] 
наушники : [0.22000000000000003, 0.25270270270270273] 
быстро : [0.59375, 0.2261904761904762] 
гб : [0.2916666666666667, 0.3870967741935484] 
хватает : [0.365, 0.2188707280832095] 
аппарат : [0.25, 0.25] 
работает : [0.365, 0.2188707280832095] 
громкость : [0.22000000000000003, 0.25270270270270273] 
звук : [0.41, 0.2367219917012448] 
камерой : [0.22000000000000003, 0.25270270270270273] 
качестве : [0.20833333333333334, 0.22467532467532467] 
аккумулятор : [0.25, 0.25] 
громкости : [0.22000000000000003, 0.25270270270270273] 
корпус : [0.1142857142857143, 0.2908878504672897] 
смартфон : [0.16666666666666666, 0.23400000000000004] 
htc : [0.325, 0.24354838709677418] 
не : [3.9760273972602738, 3.2107008270934276] 
телефона : [0.3607142857142857, 0.327171276079573] 
iphone : [0.41111111111111115, 0.3543307086614173] 
часа : [0.32857142857142857, 0.3763440860215054] 
более : [0.20833333333333334, 0.22467532467532467] 
аппарата : [0.18, 0.22578616352201256] 
тормозит : [0.16666666666666666, 0.23400000000000004] 
берите : [0.16666666666666666, 0.23400000000000004] 
музыки : [0.26, 0.3968253968253968] 
батарея : [0.13999999999999999, 0.23454106280193232] 
вообще : [0.1142857142857143, 0.2908878504672897] 
месяц : [0.18, 0.22578616352201256] 
динамик : [0.20833333333333334, 0.22467532467532467] 
стоит : [0.325, 0.24354838709677418] 
мало : [0.125, 0.25853658536585367] 
слышно : [0.26, 0.3968253968253968] 
пол : [0.20833333333333334, 0.22467532467532467] 
легко : [0.25, 0.25] 
удобно : [0.32, 0.2310185185185185] 
выбирал : [0.26, 0.3968253968253968] 
больше : [0.18, 0.22578616352201256] 
очень : [1.9226415094339624, 0.6405794525417704] 
камера : [0.5466666666666666, 0.22697947214076247] 
памяти : [0.13999999999999999, 0.23454106280193232] 
просто : [0.7849999999999999, 0.22314524555903864] 
собеседника : [0.25, 0.25] 
пользуюсь : [0.28125, 0.2219047619047619] 
понимаю : [0.22000000000000003, 0.25270270270270273] 
камеры : [0.13999999999999999, 0.23454106280193232] 
купил : [0.15, 0.29065040650406504] 
полностью : [0.25, 0.25] 
видео : [0.32857142857142857, 0.3763440860215054] 
приложения : [0.13999999999999999, 0.23454106280193232] 
фото : [0.2857142857142857, 0.246875] 
айфон : [0.3222222222222222, 0.22040133779264215] 
долго : [0.28125, 0.2219047619047619] 
царапается : [0.13999999999999999, 0.23454106280193232] 
типа : [0.13999999999999999, 0.23454106280193232] 
одна : [0.125, 0.25853658536585367] 
приложений : [0.20833333333333334, 0.22467532467532467] 
проблем : [0.18, 0.22578616352201256] 
apple : [0.26, 0.3968253968253968] 
телефон : [1.4320754716981132, 1.1244417241635136] 
телефоном : [0.20833333333333334, 0.22467532467532467] 
отличный : [0.36875, 0.36529680365296807] 
покупки : [0.18, 0.22578616352201256] 
сеть : [0.18, 0.22578616352201256] 
примерно : [0.18, 0.22578616352201256] 
серфинг : [0.2916666666666667, 0.3870967741935484] 
стекло : [0.1, 0.3685185185185185] 
игры : [0.26, 0.3968253968253968] 
целом : [0.22000000000000003, 0.25270270270270273] 
снимает : [0.2916666666666667, 0.3870967741935484] 
понравился : [0.26, 0.3968253968253968] 
ios : [0.26, 0.3968253968253968] 
постоянно : [0.1142857142857143, 0.2908878504672897] 
месяца : [0.1, 0.2588235294117647] 
приходится : [0.18, 0.22578616352201256] 
выглядит : [0.22000000000000003, 0.25270270270270273] 
хотелось : [0.2916666666666667, 0.3870967741935484] 
звонок : [0.13999999999999999, 0.23454106280193232] 
дня : [0.24285714285714285, 0.22334801762114537] 
ловит : [0.16666666666666666, 0.23400000000000004] 
хорошо : [0.5458333333333333, 0.32345013477088946] 
